GasSR,Humidity,Pressure,Temperature,PM1,PM10,PM2_5,IAQ,AQI
196.28,56.3,1003.49,31.76,27,46,39,85,SATISFACTORY
195.88,56.3,1003.47,31.75,27,48,38,85,SATISFACTORY
195.46,56.36,1003.46,31.75,27,49,39,85,SATISFACTORY
195.78,56.37,1003.44,31.74,30,55,42,85,SATISFACTORY
196.94,56.34,1003.42,31.74,27,54,40,85,SATISFACTORY
197.03,56.41,1003.42,31.74,29,55,41,85,SATISFACTORY
197.59,56.38,1003.4,31.73,28,56,41,85,SATISFACTORY
197.5,56.4,1003.42,31.73,28,52,39,85,SATISFACTORY
197.71,56.42,1003.42,31.72,28,61,43,85,SATISFACTORY
197.4,56.45,1003.46,31.7,27,56,43,85,SATISFACTORY
197.97,56.37,1003.46,31.7,27,47,39,85,SATISFACTORY
198.45,56.31,1003.46,31.7,25,42,34,80,SATISFACTORY
199.26,56.3,1003.46,31.69,25,42,35,80,SATISFACTORY
199.83,56.22,1003.46,31.7,25,41,35,80,SATISFACTORY
200.25,56.17,1003.47,31.7,25,40,34,80,SATISFACTORY
199.92,56.23,1003.49,31.7,24,39,33,80,SATISFACTORY
200.07,56.22,1003.51,31.7,24,43,33,80,SATISFACTORY
200.47,56.19,1003.51,31.72,23,41,33,80,SATISFACTORY
201.15,56.2,1003.51,31.69,25,41,34,80,SATISFACTORY
201.42,56.14,1003.51,31.69,25,44,34,80,SATISFACTORY
201.78,56.12,1003.53,31.69,25,44,35,80,SATISFACTORY
201.54,56.17,1003.51,31.68,23,47,34,80,SATISFACTORY
201.69,56.11,1003.51,31.68,23,41,34,80,SATISFACTORY
202.34,56.04,1003.53,31.68,23,38,32,75,SATISFACTORY
202.63,56,1003.51,31.68,23,37,31,75,SATISFACTORY
202.18,56.06,1003.51,31.68,22,41,32,75,SATISFACTORY
201.67,56.06,1003.47,31.67,23,43,32,80,SATISFACTORY
200.95,56.16,1003.46,31.66,22,39,33,80,SATISFACTORY
201.05,56.07,1003.46,31.66,23,44,34,80,SATISFACTORY
201.1,55.99,1003.47,31.64,24,44,34,80,SATISFACTORY
200.45,55.98,1003.49,31.64,22,41,31,80,SATISFACTORY
199.91,56.04,1003.47,31.63,22,43,32,80,SATISFACTORY
200.02,55.99,1003.49,31.62,23,36,32,80,SATISFACTORY
199.1,55.97,1003.51,31.62,25,48,35,80,SATISFACTORY
198.84,56.01,1003.51,31.61,23,41,33,80,SATISFACTORY
198.73,56.09,1003.47,31.59,22,44,32,80,SATISFACTORY
198.83,56.09,1003.49,31.59,22,42,32,80,SATISFACTORY
198.3,56.05,1003.44,31.57,23,40,33,80,SATISFACTORY
198.87,55.95,1003.46,31.59,22,42,31,80,SATISFACTORY
198.99,55.94,1003.47,31.57,23,44,32,80,SATISFACTORY
199.2,55.86,1003.46,31.57,22,39,32,80,SATISFACTORY
198.75,55.8,1003.46,31.57,23,39,32,80,SATISFACTORY
198.31,55.86,1003.46,31.55,21,37,31,80,SATISFACTORY
198.59,55.8,1003.46,31.56,21,42,32,80,SATISFACTORY
198.81,55.77,1003.46,31.55,21,40,31,80,SATISFACTORY
197.85,55.77,1003.44,31.54,21,44,30,85,SATISFACTORY
197.13,55.83,1003.46,31.54,22,44,31,85,SATISFACTORY
198.11,55.76,1003.44,31.54,22,37,31,80,SATISFACTORY
198.99,55.79,1003.46,31.54,23,36,31,80,SATISFACTORY
199.51,55.75,1003.44,31.54,22,39,31,80,SATISFACTORY
199.06,55.8,1003.46,31.54,22,32,30,80,SATISFACTORY
199.96,55.82,1003.46,31.53,22,39,32,80,SATISFACTORY
200.45,55.81,1003.47,31.53,21,35,31,80,SATISFACTORY
199.66,55.83,1003.49,31.53,22,35,31,80,SATISFACTORY
199.81,55.83,1003.51,31.53,22,40,30,80,SATISFACTORY
199.64,55.9,1003.51,31.52,22,34,31,80,SATISFACTORY
200.17,55.9,1003.49,31.52,22,34,29,80,SATISFACTORY
200.65,55.89,1003.49,31.52,20,36,29,80,SATISFACTORY
199.86,55.93,1003.49,31.52,22,40,31,80,SATISFACTORY
199.98,55.94,1003.44,31.5,21,33,29,80,SATISFACTORY
199.03,55.93,1003.42,31.5,22,44,32,80,SATISFACTORY
199.83,55.94,1003.46,31.5,21,41,30,80,SATISFACTORY
200.62,55.93,1003.47,31.49,22,41,32,80,SATISFACTORY
201.11,55.9,1003.46,31.49,21,42,31,80,SATISFACTORY
200.33,55.95,1003.44,31.48,22,40,32,80,SATISFACTORY
200.33,55.97,1003.46,31.48,22,37,29,80,SATISFACTORY
200.88,55.99,1003.46,31.47,23,38,32,80,SATISFACTORY
200.59,55.94,1003.47,31.47,22,35,30,80,SATISFACTORY
200.95,55.95,1003.46,31.46,22,43,31,80,SATISFACTORY
201.13,55.98,1003.47,31.46,23,39,32,80,SATISFACTORY
200.69,56.03,1003.49,31.45,24,43,32,80,SATISFACTORY
200,56.08,1003.49,31.43,23,43,34,80,SATISFACTORY
200.71,56.13,1003.49,31.41,22,39,31,80,SATISFACTORY
201.47,56.17,1003.53,31.4,23,44,34,80,SATISFACTORY
202.31,56.14,1003.47,31.38,23,41,34,75,SATISFACTORY
202.08,56.17,1003.47,31.35,25,47,35,75,SATISFACTORY
202.95,56.14,1003.49,31.34,25,46,33,75,SATISFACTORY
203.07,56.18,1003.46,31.33,25,45,35,75,SATISFACTORY
203.88,56.23,1003.46,31.31,27,46,38,75,SATISFACTORY
204.41,56.18,1003.44,31.28,29,50,41,75,SATISFACTORY
205.14,56.23,1003.42,31.25,31,60,43,75,SATISFACTORY
204.82,56.24,1003.38,31.22,32,59,45,75,SATISFACTORY
206.06,56.38,1003.38,31.19,37,68,50,70,SATISFACTORY
206.47,56.41,1003.38,31.17,46,72,58,70,SATISFACTORY
207.84,56.31,1003.4,31.14,36,67,51,70,SATISFACTORY
209.39,56.3,1003.4,31.12,18,33,26,70,SATISFACTORY
211.03,56.29,1003.4,31.08,15,33,24,65,SATISFACTORY
212.42,56.02,1003.42,31.07,17,30,22,65,SATISFACTORY
214,55.94,1003.4,31.05,17,27,23,60,SATISFACTORY
215.76,55.86,1003.34,31.01,17,21,21,60,SATISFACTORY
216.54,55.71,1003.34,30.99,15,28,21,60,SATISFACTORY
216.83,55.67,1003.38,30.97,16,29,22,60,SATISFACTORY
216.34,55.7,1003.36,30.93,16,22,22,60,SATISFACTORY
217.21,55.7,1003.34,30.91,17,27,20,60,SATISFACTORY
218.39,55.43,1003.32,30.87,16,33,22,55,SATISFACTORY
217.48,55.31,1003.34,30.87,15,30,21,60,SATISFACTORY
217.04,55.45,1003.3,30.87,16,21,20,60,SATISFACTORY
216.3,55.6,1003.32,30.87,15,31,22,60,SATISFACTORY
